task_id,image_id,split,biomarker,channel,relative_path,roi_x,roi_y,roi_width,roi_height,label,notes
4a0b2135383b_000,4a0b2135383b,val,cd44,df,images/cd44/DF01 (2).tif,,,,,,
9af22afa21de_000,9af22afa21de,val,cd44,df,images/cd44/DF01 (3).tif,,,,,,
36845b1d62d0_000,36845b1d62d0,val,cd44,df,images/cd44/DF01 (4).tif,,,,,,
b04fc0b5c6f5_000,b04fc0b5c6f5,val,cd44,df,images/cd44/DF01 (5).tif,,,,,,
fc8eca1ecc32_000,fc8eca1ecc32,val,cd44,df,images/cd44/DF01.tif,,,,,,
d11e9e12f44e_000,d11e9e12f44e,train,cd44,df,images/cd44/DF02 (2).tif,,,,,,
d1447c9ffa00_000,d1447c9ffa00,train,cd44,df,images/cd44/DF02 (3).tif,,,,,,
3699f4401486_000,3699f4401486,train,cd44,df,images/cd44/DF02 (4).tif,,,,,,
650b8525efd5_000,650b8525efd5,train,cd44,df,images/cd44/DF02 (5).tif,,,,,,
3d1b9314b054_000,3d1b9314b054,train,cd44,df,images/cd44/DF02.tif,,,,,,
3a20892b76b9_000,3a20892b76b9,train,cd44,df,images/cd44/DF03 (2).tif,,,,,,
e7e033509187_000,e7e033509187,train,cd44,df,images/cd44/DF03 (3).tif,,,,,,
2c68c3a9fb93_000,2c68c3a9fb93,train,cd44,df,images/cd44/DF03 (4).tif,,,,,,
b88d6ec02701_000,b88d6ec02701,train,cd44,df,images/cd44/DF03 (5).tif,,,,,,
4a0b2135383b_001,4a0b2135383b,val,cd44,df,images/cd44/DF01 (2).tif,162.0,235.0,73.0,74.0,positive,
4a0b2135383b_002,4a0b2135383b,val,cd44,df,images/cd44/DF01 (2).tif,585.0,819.0,83.0,68.0,positive,
4a0b2135383b_003,4a0b2135383b,val,cd44,df,images/cd44/DF01 (2).tif,1231.0,704.0,62.0,58.0,positive,
4a0b2135383b_004,4a0b2135383b,val,cd44,df,images/cd44/DF01 (2).tif,1026.0,41.0,64.0,51.0,positive,
4a0b2135383b_005,4a0b2135383b,val,cd44,df,images/cd44/DF01 (2).tif,1129.0,34.0,42.0,34.0,positive,
4a0b2135383b_006,4a0b2135383b,val,cd44,df,images/cd44/DF01 (2).tif,706.0,1045.0,41.0,22.0,negative,
4a0b2135383b_007,4a0b2135383b,val,cd44,df,images/cd44/DF01 (2).tif,781.0,604.0,51.0,40.0,negative,
4a0b2135383b_008,4a0b2135383b,val,cd44,df,images/cd44/DF01 (2).tif,732.0,484.0,74.0,56.0,negative,
4a0b2135383b_009,4a0b2135383b,val,cd44,df,images/cd44/DF01 (2).tif,979.0,1261.0,39.0,45.0,negative,
4a0b2135383b_010,4a0b2135383b,val,cd44,df,images/cd44/DF01 (2).tif,1165.0,1045.0,53.0,34.0,negative,
4a0b2135383b_011,4a0b2135383b,val,cd44,df,images/cd44/DF01 (2).tif,1244.0,1037.0,34.0,15.0,negative,
9af22afa21de_001,9af22afa21de,val,cd44,df,images/cd44/DF01 (3).tif,160.0,256.0,87.0,53.0,positive,
9af22afa21de_002,9af22afa21de,val,cd44,df,images/cd44/DF01 (3).tif,593.0,806.0,88.0,73.0,positive,
9af22afa21de_003,9af22afa21de,val,cd44,df,images/cd44/DF01 (3).tif,1239.0,715.0,37.0,34.0,positive,
9af22afa21de_004,9af22afa21de,val,cd44,df,images/cd44/DF01 (3).tif,1035.0,51.0,40.0,15.0,positive,
9af22afa21de_005,9af22afa21de,val,cd44,df,images/cd44/DF01 (3).tif,1135.0,32.0,28.0,43.0,positive,
9af22afa21de_006,9af22afa21de,val,cd44,df,images/cd44/DF01 (3).tif,1041.0,282.0,36.0,32.0,positive,
9af22afa21de_007,9af22afa21de,val,cd44,df,images/cd44/DF01 (3).tif,757.0,205.0,52.0,51.0,positive,
9af22afa21de_008,9af22afa21de,val,cd44,df,images/cd44/DF01 (3).tif,713.0,1028.0,25.0,66.0,negative,
9af22afa21de_009,9af22afa21de,val,cd44,df,images/cd44/DF01 (3).tif,785.0,617.0,53.0,32.0,negative,
9af22afa21de_010,9af22afa21de,val,cd44,df,images/cd44/DF01 (3).tif,602.0,589.0,47.0,51.0,negative,
9af22afa21de_011,9af22afa21de,val,cd44,df,images/cd44/DF01 (3).tif,719.0,521.0,83.0,46.0,negative,
9af22afa21de_012,9af22afa21de,val,cd44,df,images/cd44/DF01 (3).tif,1540.0,414.0,51.0,19.0,negative,
9af22afa21de_013,9af22afa21de,val,cd44,df,images/cd44/DF01 (3).tif,1485.0,307.0,40.0,26.0,negative,
9af22afa21de_014,9af22afa21de,val,cd44,df,images/cd44/DF01 (3).tif,1378.0,595.0,51.0,62.0,negative,
9af22afa21de_015,9af22afa21de,val,cd44,df,images/cd44/DF01 (3).tif,977.0,1242.0,38.0,47.0,negative,
36845b1d62d0_001,36845b1d62d0,val,cd44,df,images/cd44/DF01 (4).tif,1333.0,36.0,54.0,79.0,positive,
36845b1d62d0_002,36845b1d62d0,val,cd44,df,images/cd44/DF01 (4).tif,1293.0,736.0,30.0,36.0,positive,
36845b1d62d0_003,36845b1d62d0,val,cd44,df,images/cd44/DF01 (4).tif,1056.0,521.0,43.0,40.0,negative,
36845b1d62d0_004,36845b1d62d0,val,cd44,df,images/cd44/DF01 (4).tif,802.0,474.0,47.0,38.0,negative,
36845b1d62d0_005,36845b1d62d0,val,cd44,df,images/cd44/DF01 (4).tif,796.0,523.0,27.0,34.0,negative,
36845b1d62d0_006,36845b1d62d0,val,cd44,df,images/cd44/DF01 (4).tif,719.0,589.0,45.0,25.0,negative,
36845b1d62d0_007,36845b1d62d0,val,cd44,df,images/cd44/DF01 (4).tif,689.0,685.0,26.0,19.0,negative,
36845b1d62d0_008,36845b1d62d0,val,cd44,df,images/cd44/DF01 (4).tif,546.0,591.0,30.0,26.0,negative,
36845b1d62d0_009,36845b1d62d0,val,cd44,df,images/cd44/DF01 (4).tif,640.0,683.0,19.0,17.0,negative,
b04fc0b5c6f5_001,b04fc0b5c6f5,val,cd44,df,images/cd44/DF01 (5).tif,764.0,1126.0,45.0,28.0,positive,
b04fc0b5c6f5_002,b04fc0b5c6f5,val,cd44,df,images/cd44/DF01 (5).tif,943.0,676.0,36.0,34.0,negative,
b04fc0b5c6f5_003,b04fc0b5c6f5,val,cd44,df,images/cd44/DF01 (5).tif,996.0,687.0,32.0,40.0,negative,
b04fc0b5c6f5_004,b04fc0b5c6f5,val,cd44,df,images/cd44/DF01 (5).tif,1314.0,751.0,30.0,40.0,negative,
b04fc0b5c6f5_005,b04fc0b5c6f5,val,cd44,df,images/cd44/DF01 (5).tif,1382.0,877.0,47.0,40.0,negative,
b04fc0b5c6f5_006,b04fc0b5c6f5,val,cd44,df,images/cd44/DF01 (5).tif,670.0,252.0,38.0,19.0,negative,
fc8eca1ecc32_001,fc8eca1ecc32,val,cd44,df,images/cd44/DF01.tif,1327.0,28.0,55.0,57.0,positive,
fc8eca1ecc32_002,fc8eca1ecc32,val,cd44,df,images/cd44/DF01.tif,1301.0,721.0,34.0,47.0,positive,
fc8eca1ecc32_003,fc8eca1ecc32,val,cd44,df,images/cd44/DF01.tif,956.0,885.0,38.0,32.0,negative,
fc8eca1ecc32_004,fc8eca1ecc32,val,cd44,df,images/cd44/DF01.tif,973.0,958.0,23.0,40.0,negative,
fc8eca1ecc32_005,fc8eca1ecc32,val,cd44,df,images/cd44/DF01.tif,777.0,273.0,55.0,43.0,negative,
d11e9e12f44e_001,d11e9e12f44e,train,cd44,df,images/cd44/DF02 (2).tif,674.0,237.0,75.0,62.0,positive,
d11e9e12f44e_002,d11e9e12f44e,train,cd44,df,images/cd44/DF02 (2).tif,1310.0,495.0,38.0,60.0,positive,
d11e9e12f44e_003,d11e9e12f44e,train,cd44,df,images/cd44/DF02 (2).tif,1239.0,1054.0,62.0,49.0,positive,
